Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_titan,CC,LCOM5,WMC
Run_2,Github_titan,CC,LCOM5,WMC
Run_3,Github_titan,CC,LCOM5,WMC
Run_4,Github_titan,CC,LCOM5,WMC
Run_5,Github_titan,CC,LCOM5,WMC
Run_6,Github_titan,CC,LCOM5,WMC
Run_7,Github_titan,CC,LCOM5,WMC
Run_8,Github_titan,CC,LCOM5,WMC
Run_9,Github_titan,CC,LCOM5,WMC
Run_10,Github_titan,CC,LCOM5,WMC
Run_11,Github_titan,CC,LCOM5,WMC
Run_12,Github_titan,CC,LCOM5,WMC
Run_13,Github_titan,CC,LCOM5,WMC
Run_14,Github_titan,CC,LCOM5,WMC
Run_15,Github_titan,CC,LCOM5,WMC
Run_16,Github_titan,CC,LCOM5,WMC
Run_17,Github_titan,CC,WMC,CBO
Run_18,Github_titan,CC,LCOM5,WMC
Run_19,Github_titan,CC,LCOM5,WMC
Run_20,Github_titan,CC,LCOM5,WMC
Run_21,Github_titan,CC,WMC,CBO
Run_22,Github_titan,CC,LCOM5,WMC
Run_23,Github_titan,CC,LCOM5,WMC
Run_24,Github_titan,CC,LCOM5,WMC
Run_25,Github_titan,CC,LCOM5,WMC
Run_26,Github_titan,CC,LCOM5,WMC
Run_27,Github_titan,CC,LCOM5,WMC
Run_28,Github_titan,CC,LCOM5,WMC
Run_29,Github_titan,CC,LCOM5,WMC
Run_30,Github_titan,CC,WMC,CBO
