Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_mapdb,LCOM5,WMC,CBO
Run_2,Github_mapdb,LCOM5,WMC,CBO
Run_3,Github_mapdb,CC,WMC,CBO
Run_4,Github_mapdb,CC,LCOM5,WMC
Run_5,Github_mapdb,LCOM5,WMC,CBO
Run_6,Github_mapdb,LCOM5,WMC,CBO
Run_7,Github_mapdb,CC,LCOM5,WMC
Run_8,Github_mapdb,LCOM5,WMC,CBO
Run_9,Github_mapdb,LCOM5,WMC,CBO
Run_10,Github_mapdb,CC,LCOM5,WMC
Run_11,Github_mapdb,CC,LCOM5,WMC
Run_12,Github_mapdb,CC,LCOM5,WMC
Run_13,Github_mapdb,CC,LCOM5,WMC
Run_14,Github_mapdb,LCOM5,WMC,CBO
Run_15,Github_mapdb,LCOM5,WMC,CBO
Run_16,Github_mapdb,CC,LCOM5,WMC
Run_17,Github_mapdb,LCOM5,WMC,CBO
Run_18,Github_mapdb,LCOM5,WMC,CBO
Run_19,Github_mapdb,LCOM5,WMC,CBO
Run_20,Github_mapdb,LCOM5,WMC,CBO
Run_21,Github_mapdb,LCOM5,WMC,CBO
Run_22,Github_mapdb,LCOM5,WMC,CBO
Run_23,Github_mapdb,CC,LCOM5,WMC
Run_24,Github_mapdb,CC,LCOM5,WMC
Run_25,Github_mapdb,LCOM5,WMC,CBO
Run_26,Github_mapdb,CC,LCOM5,WMC
Run_27,Github_mapdb,LCOM5,WMC,CBO
Run_28,Github_mapdb,LCOM5,WMC,CBO
Run_29,Github_mapdb,WMC,CBO,RFC
Run_30,Github_mapdb,CC,LCOM5,WMC
