Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_xerces,LCOM5,DIT,NPM
Run_2,Promise_xerces,DIT,NOC,NPM
Run_3,Promise_xerces,CBO,DIT,NPM
Run_4,Promise_xerces,DIT,NOC,NPM
Run_5,Promise_xerces,DIT,NOC,NPM
Run_6,Promise_xerces,DIT,NOC,NPM
Run_7,Promise_xerces,DIT,NOC,NPM
Run_8,Promise_xerces,LCOM5,DIT,NPM
Run_9,Promise_xerces,CBO,DIT,NPM
Run_10,Promise_xerces,DIT,NOC,NPM
Run_11,Promise_xerces,CBO,DIT,NPM
Run_12,Promise_xerces,CBO,DIT,NPM
Run_13,Promise_xerces,DIT,NOC,NPM
Run_14,Promise_xerces,DIT,NOC,NPM
Run_15,Promise_xerces,CBO,DIT,NPM
Run_16,Promise_xerces,CBO,DIT,NPM
Run_17,Promise_xerces,DIT,NOC,NPM
Run_18,Promise_xerces,CBO,DIT,NPM
Run_19,Promise_xerces,DIT,NOC,NPM
Run_20,Promise_xerces,DIT,NOC,NPM
Run_21,Promise_xerces,CBO,DIT,NPM
Run_22,Promise_xerces,CBO,NOC,NPM
Run_23,Promise_xerces,DIT,NOC,NPM
Run_24,Promise_xerces,CBO,DIT,NPM
Run_25,Promise_xerces,WMC,DIT,NPM
Run_26,Promise_xerces,DIT,NOC,NPM
Run_27,Promise_xerces,CBO,DIT,NPM
Run_28,Promise_xerces,DIT,NOC,NPM
Run_29,Promise_xerces,DIT,NOC,NPM
Run_30,Promise_xerces,DIT,NOC,NPM
