Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_xalan27,LCOM5,WMC,CBO
Run_2,Promise_xalan27,LCOM5,WMC,CBO
Run_3,Promise_xalan27,LCOM5,WMC,CBO
Run_4,Promise_xalan27,LCOM5,WMC,RFC
Run_5,Promise_xalan27,LCOM5,WMC,CBO
Run_6,Promise_xalan27,LCOM5,WMC,CBO
Run_7,Promise_xalan27,LCOM5,WMC,CBO
Run_8,Promise_xalan27,LCOM5,WMC,RFC
Run_9,Promise_xalan27,LCOM5,WMC,NOC
Run_10,Promise_xalan27,LCOM5,WMC,CBO
Run_11,Promise_xalan27,LCOM5,WMC,CBO
Run_12,Promise_xalan27,LCOM5,WMC,RFC
Run_13,Promise_xalan27,LCOM5,WMC,CBO
Run_14,Promise_xalan27,LCOM5,WMC,RFC
Run_15,Promise_xalan27,LCOM5,WMC,CBO
Run_16,Promise_xalan27,LCOM5,WMC,CBO
Run_17,Promise_xalan27,LCOM5,WMC,CBO
Run_18,Promise_xalan27,LCOM5,WMC,CBO
Run_19,Promise_xalan27,LCOM5,WMC,CBO
Run_20,Promise_xalan27,LCOM5,WMC,RFC
Run_21,Promise_xalan27,LCOM5,WMC,RFC
Run_22,Promise_xalan27,LCOM5,NOC,LOC
Run_23,Promise_xalan27,LCOM5,WMC,RFC
Run_24,Promise_xalan27,LCOM5,WMC,CBO
Run_25,Promise_xalan27,LCOM5,WMC,RFC
Run_26,Promise_xalan27,LCOM5,NOC,LOC
Run_27,Promise_xalan27,LCOM5,WMC,CBO
Run_28,Promise_xalan27,LCOM5,CBO,NOC
Run_29,Promise_xalan27,LCOM5,WMC,CBO
Run_30,Promise_xalan27,LCOM5,WMC,CBO
