Run,Project,Feature_1,Feature_2
Run_1,Promise_ivy20,CBO,LOC
Run_2,Promise_ivy20,CBO,LOC
Run_3,Promise_ivy20,RFC,LOC
Run_4,Promise_ivy20,RFC,LOC
Run_5,Promise_ivy20,WMC,RFC
Run_6,Promise_ivy20,WMC,RFC
Run_7,Promise_ivy20,CBO,WMC
Run_8,Promise_ivy20,WMC,RFC
Run_9,Promise_ivy20,RFC,LOC
Run_10,Promise_ivy20,WMC,CBO
Run_11,Promise_ivy20,RFC,LOC
Run_12,Promise_ivy20,RFC,LOC
Run_13,Promise_ivy20,RFC,LOC
Run_14,Promise_ivy20,RFC,WMC
Run_15,Promise_ivy20,RFC,LOC
Run_16,Promise_ivy20,RFC,LOC
Run_17,Promise_ivy20,RFC,LOC
Run_18,Promise_ivy20,RFC,LOC
Run_19,Promise_ivy20,RFC,WMC
Run_20,Promise_ivy20,LOC,WMC
Run_21,Promise_ivy20,RFC,LOC
Run_22,Promise_ivy20,RFC,LOC
Run_23,Promise_ivy20,RFC,LOC
Run_24,Promise_ivy20,WMC,LOC
Run_25,Promise_ivy20,RFC,LOC
Run_26,Promise_ivy20,CBO,WMC
Run_27,Promise_ivy20,RFC,WMC
Run_28,Promise_ivy20,RFC,LOC
Run_29,Promise_ivy20,RFC,LOC
Run_30,Promise_ivy20,RFC,LOC
