Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_lucene,WMC,CBO
Run_2,BugPrediction_lucene,WMC,CBO
Run_3,BugPrediction_lucene,WMC,CBO
Run_4,BugPrediction_lucene,WMC,CBO
Run_5,BugPrediction_lucene,WMC,CBO
Run_6,BugPrediction_lucene,WMC,CBO
Run_7,BugPrediction_lucene,WMC,CBO
Run_8,BugPrediction_lucene,WMC,RFC
Run_9,BugPrediction_lucene,WMC,CBO
Run_10,BugPrediction_lucene,WMC,CBO
Run_11,BugPrediction_lucene,WMC,CBO
Run_12,BugPrediction_lucene,WMC,RFC
Run_13,BugPrediction_lucene,WMC,CBO
Run_14,BugPrediction_lucene,WMC,CBO
Run_15,BugPrediction_lucene,WMC,RFC
Run_16,BugPrediction_lucene,WMC,CBO
Run_17,BugPrediction_lucene,WMC,CBO
Run_18,BugPrediction_lucene,WMC,CBO
Run_19,BugPrediction_lucene,WMC,CBO
Run_20,BugPrediction_lucene,WMC,CBO
Run_21,BugPrediction_lucene,WMC,CBO
Run_22,BugPrediction_lucene,WMC,CBO
Run_23,BugPrediction_lucene,WMC,CBO
Run_24,BugPrediction_lucene,WMC,CBO
Run_25,BugPrediction_lucene,WMC,RFC
Run_26,BugPrediction_lucene,WMC,CBO
Run_27,BugPrediction_lucene,WMC,CBO
Run_28,BugPrediction_lucene,WMC,CBO
Run_29,BugPrediction_lucene,WMC,CBO
Run_30,BugPrediction_lucene,WMC,CBO
