Run,Project,Feature_1,Feature_2
Run_1,Github_oryx,WMC,CBO
Run_2,Github_oryx,WMC,CBO
Run_3,Github_oryx,WMC,CBO
Run_4,Github_oryx,WMC,CBO
Run_5,Github_oryx,WMC,CBO
Run_6,Github_oryx,WMC,CBO
Run_7,Github_oryx,WMC,CBO
Run_8,Github_oryx,WMC,CBO
Run_9,Github_oryx,WMC,CBO
Run_10,Github_oryx,WMC,CBO
Run_11,Github_oryx,WMC,CBO
Run_12,Github_oryx,WMC,CBO
Run_13,Github_oryx,WMC,CBO
Run_14,Github_oryx,WMC,CBO
Run_15,Github_oryx,WMC,CBO
Run_16,Github_oryx,WMC,CBO
Run_17,Github_oryx,WMC,CBO
Run_18,Github_oryx,WMC,CBO
Run_19,Github_oryx,WMC,CBO
Run_20,Github_oryx,WMC,CBO
Run_21,Github_oryx,WMC,CBO
Run_22,Github_oryx,WMC,CBO
Run_23,Github_oryx,WMC,CBO
Run_24,Github_oryx,WMC,CBO
Run_25,Github_oryx,WMC,CBO
Run_26,Github_oryx,WMC,CBO
Run_27,Github_oryx,WMC,CBO
Run_28,Github_oryx,WMC,CBO
Run_29,Github_oryx,WMC,CBO
Run_30,Github_oryx,WMC,CBO
