Run,Project,Feature_1,Feature_2
Run_1,Github_orientdb,CBO,NPM
Run_2,Github_orientdb,CBO,NPM
Run_3,Github_orientdb,LOC,NPM
Run_4,Github_orientdb,WMC,NPM
Run_5,Github_orientdb,CBO,LOC
Run_6,Github_orientdb,LOC,NPM
Run_7,Github_orientdb,LOC,NPM
Run_8,Github_orientdb,LOC,NPM
Run_9,Github_orientdb,CBO,NPM
Run_10,Github_orientdb,LOC,NPM
Run_11,Github_orientdb,RFC,NPM
Run_12,Github_orientdb,RFC,NPM
Run_13,Github_orientdb,CBO,NPM
Run_14,Github_orientdb,CBO,NPM
Run_15,Github_orientdb,CBO,LOC
Run_16,Github_orientdb,CBO,NPM
Run_17,Github_orientdb,WMC,NPM
Run_18,Github_orientdb,CBO,NPM
Run_19,Github_orientdb,CBO,NPM
Run_20,Github_orientdb,LOC,NPM
Run_21,Github_orientdb,CBO,NPM
Run_22,Github_orientdb,CBO,NPM
Run_23,Github_orientdb,LOC,NPM
Run_24,Github_orientdb,WMC,CBO
Run_25,Github_orientdb,CBO,NPM
Run_26,Github_orientdb,RFC,NPM
Run_27,Github_orientdb,LOC,NPM
Run_28,Github_orientdb,LOC,NPM
Run_29,Github_orientdb,CBO,NPM
Run_30,Github_orientdb,RFC,NPM
