Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_Equinox,WMC,LOC
Run_2,BugPrediction_Equinox,WMC,LOC
Run_3,BugPrediction_Equinox,WMC,LOC
Run_4,BugPrediction_Equinox,WMC,LOC
Run_5,BugPrediction_Equinox,WMC,LOC
Run_6,BugPrediction_Equinox,WMC,LOC
Run_7,BugPrediction_Equinox,WMC,LOC
Run_8,BugPrediction_Equinox,WMC,LOC
Run_9,BugPrediction_Equinox,WMC,LOC
Run_10,BugPrediction_Equinox,WMC,LOC
Run_11,BugPrediction_Equinox,WMC,LOC
Run_12,BugPrediction_Equinox,WMC,LOC
Run_13,BugPrediction_Equinox,WMC,LOC
Run_14,BugPrediction_Equinox,WMC,LOC
Run_15,BugPrediction_Equinox,WMC,LOC
Run_16,BugPrediction_Equinox,WMC,LOC
Run_17,BugPrediction_Equinox,WMC,LOC
Run_18,BugPrediction_Equinox,WMC,LOC
Run_19,BugPrediction_Equinox,WMC,LOC
Run_20,BugPrediction_Equinox,WMC,LOC
Run_21,BugPrediction_Equinox,WMC,LOC
Run_22,BugPrediction_Equinox,WMC,LOC
Run_23,BugPrediction_Equinox,WMC,LOC
Run_24,BugPrediction_Equinox,WMC,LOC
Run_25,BugPrediction_Equinox,WMC,LOC
Run_26,BugPrediction_Equinox,WMC,LOC
Run_27,BugPrediction_Equinox,WMC,LOC
Run_28,BugPrediction_Equinox,WMC,LOC
Run_29,BugPrediction_Equinox,WMC,LOC
Run_30,BugPrediction_Equinox,WMC,LOC
